"place_id","place_name","image_url"
210,"Maithon Dam","/images/places/maithon-dam.jpg"
211,"Patratu Valley","/images/places/patratu-valley.jpg"
212,"Patratu Dam","/images/places/patratu-dam.jpg"
213,"Jagannath Temple, Ranchi","/images/places/jagannath-temple-ranchi.jpg"
214,"Tagore Hill","/images/places/tagore-hill.jpg"
215,"Usri Falls","/images/places/usri-falls.jpg"
216,"Lodh Falls","/images/places/lodh-falls.jpg"
217,"Palamau Tiger Reserve","/images/places/palamau-tiger-reserve.jpg"
218,"Bengaluru","/images/places/bengaluru.jpg"
219,"Mysuru Palace","/images/places/mysuru-palace.jpg"
220,"Hampi","/images/places/hampi.jpg"
221,"Coorg (Kodagu)","/images/places/coorg-kodagu.jpg"
222,"Gokarna","/images/places/gokarna.jpg"
223,"Jog Falls","/images/places/jog-falls.jpg"
224,"Chikmagalur","/images/places/chikmagalur.jpg"
225,"Badami","/images/places/badami.jpg"
226,"Pattadakal","/images/places/pattadakal.jpg"
227,"Aihole","/images/places/aihole.jpg"
228,"Belur","/images/places/belur.jpg"
229,"Halebidu","/images/places/halebidu.jpg"
230,"Bandipur National Park","/images/places/bandipur-national-park.jpg"
231,"Nagarhole National Park","/images/places/nagarhole-national-park.jpg"
232,"Kabini","/images/places/kabini.jpg"
233,"Udupi","/images/places/udupi.jpg"
234,"Murudeshwar","/images/places/murudeshwar.jpg"
235,"Dandeli","/images/places/dandeli.jpg"
236,"Kudremukh","/images/places/kudremukh.jpg"
237,"Shravanabelagola","/images/places/shravanabelagola.jpg"
238,"Munnar","/images/places/munnar.jpg"
239,"Alleppey (Alappuzha)","/images/places/alleppey-alappuzha.jpg"
240,"Kochi","/images/places/kochi.jpg"
241,"Thekkady","/images/places/thekkady.jpg"
242,"Wayanad","/images/places/wayanad.jpg"
243,"Kovalam","/images/places/kovalam.jpg"
244,"Varkala","/images/places/varkala.jpg"
245,"Kumarakom","/images/places/kumarakom.jpg"
246,"Bekal Fort","/images/places/bekal-fort.jpg"
247,"Vagamon","/images/places/vagamon.jpg"
248,"Athirappilly Waterfalls","/images/places/athirappilly-waterfalls.jpg"
249,"Periyar National Park","/images/places/periyar-national-park.jpg"
250,"Silent Valley National Park","/images/places/silent-valley-national-park.jpg"
251,"Sabarimala","/images/places/sabarimala.jpg"
252,"Guruvayur Temple","/images/places/guruvayur-temple.jpg"
253,"Thiruvananthapuram","/images/places/thiruvananthapuram.jpg"
254,"Kannur","/images/places/kannur.jpg"
255,"Kozhikode","/images/places/kozhikode.jpg"
256,"Marari Beach","/images/places/marari-beach.jpg"
257,"Munroe Island","/images/places/munroe-island.jpg"
258,"Khajuraho","/images/places/khajuraho.jpg"
259,"Ujjain","/images/places/ujjain.jpg"
260,"Bhopal","/images/places/bhopal.jpg"
261,"Indore","/images/places/indore.jpg"
262,"Gwalior","/images/places/gwalior.jpg"
263,"Orchha","/images/places/orchha.jpg"
264,"Sanchi","/images/places/sanchi.jpg"
265,"Pachmarhi","/images/places/pachmarhi.jpg"
266,"Kanha National Park","/images/places/kanha-national-park.jpg"
267,"Bandhavgarh National Park","/images/places/bandhavgarh-national-park.jpg"
268,"Pench National Park","/images/places/pench-national-park.jpg"
269,"Satpura National Park","/images/places/satpura-national-park.jpg"
270,"Mandu","/images/places/mandu.jpg"
271,"Bhimbetka","/images/places/bhimbetka.jpg"
272,"Omkareshwar","/images/places/omkareshwar.jpg"
273,"Maheshwar","/images/places/maheshwar.jpg"
275,"Jabalpur","/images/places/jabalpur.jpg"
276,"Amarkantak","/images/places/amarkantak.jpg"
277,"Shivpuri","/images/places/shivpuri.jpg"
278,"Imphal","/images/places/imphal.jpg"
279,"Loktak Lake","/images/places/loktak-lake.jpg"
280,"Keibul Lamjao National Park","/images/places/keibul-lamjao-national-park.jpg"
281,"Sendra Tourist Hub","/images/places/sendra-tourist-hub.jpg"
282,"Kangla Fort","/images/places/kangla-fort.jpg"
283,"Shri Govindajee Temple","/images/places/shri-govindajee-temple.jpg"
284,"Andro","/images/places/andro.jpg"
285,"Khongjom War Memorial","/images/places/khongjom-war-memorial.jpg"
286,"Moreh","/images/places/moreh.jpg"
287,"Ukhrul","/images/places/ukhrul.jpg"
288,"Shirui Hills","/images/places/shirui-hills.jpg"
290,"Singda Dam","/images/places/singda-dam.jpg"
291,"Leimakhong","/images/places/leimakhong.jpg"
292,"Khonghampat Orchidarium","/images/places/khonghampat-orchidarium.jpg"
293,"Ima Keithel","/images/places/ima-keithel.jpg"
294,"Sekta Archaeological Living Museum","/images/places/sekta-archaeological-living-museum.jpg"
295,"Tharon Cave","/images/places/tharon-cave.jpg"
296,"Kaina Temple","/images/places/kaina-temple.jpg"
297,"Waithou Lake","/images/places/waithou-lake.jpg"
298,"Shillong","/images/places/shillong.jpg"
299,"Cherrapunji (Sohra)","/images/places/cherrapunji-sohra.jpg"
300,"Dawki","/images/places/dawki.jpg"
301,"Nongriat","/images/places/nongriat.jpg"
302,"Double Decker Living Root Bridge","/images/places/double-decker-living-root-bridge.jpg"
303,"Mawlynnong","/images/places/mawlynnong.jpg"
304,"Laitlum Grand Canyon","/images/places/laitlum-grand-canyon.jpg"
305,"Nohkalikai Falls","/images/places/nohkalikai-falls.jpg"
306,"Seven Sisters Falls","/images/places/seven-sisters-falls.jpg"
307,"Mawsmai Cave","/images/places/mawsmai-cave.jpg"
308,"Arwah Cave","/images/places/arwah-cave.jpg"
309,"Krang Suri Waterfall","/images/places/krang-suri-waterfall.jpg"
310,"Umiam Lake","/images/places/umiam-lake.jpg"
311,"Elephant Falls","/images/places/elephant-falls.jpg"
312,"Mawphlang Sacred Forest","/images/places/mawphlang-sacred-forest.jpg"
313,"Nongpoh","/images/places/nongpoh.jpg"
314,"Jowai","/images/places/jowai.jpg"
315,"Nartiang Monoliths","/images/places/nartiang-monoliths.jpg"
316,"Balpakram National Park","/images/places/balpakram-national-park.jpg"
317,"Nokrek National Park","/images/places/nokrek-national-park.jpg"
318,"Mumbai","/images/places/mumbai.jpg"
319,"Ajanta Caves","/images/places/ajanta-caves.jpg"
320,"Ellora Caves","/images/places/ellora-caves.jpg"
321,"Shirdi","/images/places/shirdi.jpg"
322,"Nashik","/images/places/nashik.jpg"
323,"Mahabaleshwar","/images/places/mahabaleshwar.jpg"
324,"Lonavala","/images/places/lonavala.jpg"
325,"Khandala","/images/places/khandala.jpg"
326,"Matheran","/images/places/matheran.jpg"
327,"Alibaug","/images/places/alibaug.jpg"
328,"Panchgani","/images/places/panchgani.jpg"
329,"Pune","/images/places/pune.jpg"
330,"Raigad Fort","/images/places/raigad-fort.jpg"
331,"Pratapgad Fort","/images/places/pratapgad-fort.jpg"
332,"Tadoba-Andhari Tiger Reserve","/images/places/tadoba-andhari-tiger-reserve.jpg"
333,"Chhatrapati Sambhajinagar","/images/places/chhatrapati-sambhajinagar.jpg"
334,"Lonar Lake","/images/places/lonar-lake.jpg"
335,"Aizawl","/images/places/aizawl.jpg"
336,"Reiek","/images/places/reiek.jpg"
337,"Hmuifang","/images/places/hmuifang.jpg"
338,"Durtlang Hills","/images/places/durtlang-hills.jpg"
339,"Vantawng Falls","/images/places/vantawng-falls.jpg"
340,"Phawngpui (Blue Mountain) National Park","/images/places/phawngpui-blue-mountain-national-park.jpg"
341,"Champhai","/images/places/champhai.jpg"
342,"Tam Dil","/images/places/tam-dil.jpg"
343,"Rih Dil","/images/places/rih-dil.jpg"
344,"Thenzawl","/images/places/thenzawl.jpg"
345,"Serchhip","/images/places/serchhip.jpg"
346,"Lunglei","/images/places/lunglei.jpg"
347,"Murlen National Park","/images/places/murlen-national-park.jpg"
348,"Palak Lake","/images/places/palak-lake.jpg"
349,"Saitual","/images/places/saitual.jpg"
350,"Falkawn","/images/places/falkawn.jpg"
351,"Solomon's Temple","/images/places/solomons-temple.jpg"
352,"Khawnglung Wildlife Sanctuary","/images/places/khawnglung-wildlife-sanctuary.jpg"
353,"Tuirihiau Falls","/images/places/tuirihiau-falls.jpg"
354,"Lalsavunga Park","/images/places/lalsavunga-park.jpg"
355,"Kohima","/images/places/kohima.jpg"
356,"Kisama Heritage Village","/images/places/kisama-heritage-village.jpg"
357,"Dzüko Valley","/images/places/dzuko-valley.jpg"
358,"Japfu Peak","/images/places/japfu-peak.jpg"
